Date,GrandPrix,Position,Driver,FullName,BestLapTime,Tyre
2025-03-16,Australian Grand Prix,1,NOR,Lando Norris,0 days 00:01:22.167000,HARD
2025-03-16,Australian Grand Prix,2,LAW,Liam Lawson,0 days 00:01:22.970000,MEDIUM
2025-03-16,Australian Grand Prix,3,VER,Max Verstappen,0 days 00:01:23.081000,MEDIUM
2025-03-16,Australian Grand Prix,4,PIA,Oscar Piastri,0 days 00:01:23.242000,HARD
2025-03-16,Australian Grand Prix,5,BOR,Gabriel Bortoleto,0 days 00:01:24.192000,MEDIUM
2025-03-16,Australian Grand Prix,6,TSU,Yuki Tsunoda,0 days 00:01:24.194000,MEDIUM
2025-03-16,Australian Grand Prix,7,HAM,Lewis Hamilton,0 days 00:01:24.218000,HARD
2025-03-16,Australian Grand Prix,8,ALB,Alexander Albon,0 days 00:01:24.597000,MEDIUM
2025-03-16,Australian Grand Prix,9,ANT,Andrea Kimi Antonelli,0 days 00:01:24.901000,HARD
2025-03-16,Australian Grand Prix,10,GAS,Pierre Gasly,0 days 00:01:25.020000,HARD
2025-03-16,Australian Grand Prix,11,RUS,George Russell,0 days 00:01:25.065000,HARD
2025-03-16,Australian Grand Prix,12,HUL,Nico Hulkenberg,0 days 00:01:25.243000,MEDIUM
2025-03-16,Australian Grand Prix,13,LEC,Charles Leclerc,0 days 00:01:25.271000,HARD
2025-03-16,Australian Grand Prix,14,STR,Lance Stroll,0 days 00:01:25.538000,HARD
2025-03-16,Australian Grand Prix,15,OCO,Esteban Ocon,0 days 00:01:26.764000,MEDIUM
2025-03-16,Australian Grand Prix,16,BEA,Oliver Bearman,0 days 00:01:27.603000,MEDIUM
2025-03-16,Australian Grand Prix,17,ALO,Fernando Alonso,0 days 00:01:28.819000,INTERMEDIATE
2025-03-23,Chinese Grand Prix,1,HAM,Lewis Hamilton,0 days 00:01:35.069000,HARD
2025-03-23,Chinese Grand Prix,2,NOR,Lando Norris,0 days 00:01:35.454000,HARD
2025-03-23,Chinese Grand Prix,3,VER,Max Verstappen,0 days 00:01:35.488000,HARD
2025-03-23,Chinese Grand Prix,4,PIA,Oscar Piastri,0 days 00:01:35.520000,HARD
2025-03-23,Chinese Grand Prix,5,OCO,Esteban Ocon,0 days 00:01:35.740000,HARD
2025-03-23,Chinese Grand Prix,6,RUS,George Russell,0 days 00:01:35.816000,HARD
2025-03-23,Chinese Grand Prix,7,HAD,Isack Hadjar,0 days 00:01:35.868000,HARD
2025-03-23,Chinese Grand Prix,8,TSU,Yuki Tsunoda,0 days 00:01:35.871000,MEDIUM
2025-03-23,Chinese Grand Prix,9,BOR,Gabriel Bortoleto,0 days 00:01:35.874000,HARD
2025-03-23,Chinese Grand Prix,10,LAW,Liam Lawson,0 days 00:01:35.985000,HARD
2025-03-23,Chinese Grand Prix,11,STR,Lance Stroll,0 days 00:01:36.044000,MEDIUM
2025-03-23,Chinese Grand Prix,12,ANT,Kimi Antonelli,0 days 00:01:36.046000,HARD
2025-03-23,Chinese Grand Prix,13,LEC,Charles Leclerc,0 days 00:01:36.157000,HARD
2025-03-23,Chinese Grand Prix,14,ALB,Alexander Albon,0 days 00:01:36.254000,HARD
2025-03-23,Chinese Grand Prix,15,BEA,Oliver Bearman,0 days 00:01:36.363000,MEDIUM
2025-03-23,Chinese Grand Prix,16,DOO,Jack Doohan,0 days 00:01:36.424000,HARD
2025-03-23,Chinese Grand Prix,17,GAS,Pierre Gasly,0 days 00:01:36.425000,HARD
2025-03-23,Chinese Grand Prix,18,SAI,Carlos Sainz,0 days 00:01:36.779000,HARD
2025-03-23,Chinese Grand Prix,19,HUL,Nico Hulkenberg,0 days 00:01:37.275000,HARD
2025-03-23,Chinese Grand Prix,20,ALO,Fernando Alonso,0 days 00:01:39.256000,MEDIUM
2025-04-06,Japanese Grand Prix,1,ANT,Kimi Antonelli,0 days 00:01:30.965000,HARD
2025-04-06,Japanese Grand Prix,2,PIA,Oscar Piastri,0 days 00:01:31.039000,HARD
2025-04-06,Japanese Grand Prix,3,VER,Max Verstappen,0 days 00:01:31.041000,HARD
2025-04-06,Japanese Grand Prix,4,SAI,Carlos Sainz,0 days 00:01:31.106000,SOFT
2025-04-06,Japanese Grand Prix,5,NOR,Lando Norris,0 days 00:01:31.116000,HARD
2025-04-06,Japanese Grand Prix,6,ALB,Alexander Albon,0 days 00:01:31.125000,HARD
2025-04-06,Japanese Grand Prix,7,HAD,Isack Hadjar,0 days 00:01:31.317000,HARD
2025-04-06,Japanese Grand Prix,8,RUS,George Russell,0 days 00:01:31.357000,HARD
